source_id,university_name,cohort,root_cause,priority,effort,recommended_action,exact_implementation_target,expected_recovery_probability,verification_method,fallback_strategy,analysis_fix_applied
ou_1_univ_001,고려대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1618_univ_001,화성의과학대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1737_univ_001,강남대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1745_univ_001,강서대학교,hard_non_success,public_xhr_or_post_adapter_required,P1,M,공개 목록 XHR 또는 POST 요청을 재현하는 제한된 adapter를 만든다.,shared XHR/POST adapter,중간,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,검증 실패 시 beta 활성화를 보류하고 수동 확인,false
ou_1751_univ_001,강원대학교,hard_non_success,confirmed_http_403,P3,External,차단 우회를 하지 않고 공식 공개 대체 게시판만 조사한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1878_univ_001,경성대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1888_univ_001,경운대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1923_univ_001,계명대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_1986_univ_001,광신대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2015_univ_001,광주여자대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2062_univ_001,국립목포해양대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2097_univ_001,국립한국해양대학교,hard_non_success,wrong_or_stale_list_url,P2,S,공식 대학 사이트에서 중앙 장학 게시판의 replacement URL을 확인한 뒤 교체한다.,source registry,중간,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,검증 실패 시 beta 활성화를 보류하고 수동 확인,false
ou_2106_univ_001,국립한밭대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2112_univ_001,국민대학교,hard_non_success,public_xhr_or_post_adapter_required,P1,M,공개 목록 XHR 또는 POST 요청을 재현하는 제한된 adapter를 만든다.,shared XHR/POST adapter,중간,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,검증 실패 시 beta 활성화를 보류하고 수동 확인,false
ou_2149_univ_001,김천대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2173_univ_001,남서울대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2238_univ_001,대신대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2257_univ_001,대진대학교,hard_non_success,unknown_requires_manual_browser_review,P2,L,사람이 공식 페이지에서 목록과 상세 클릭 동작을 확인한 뒤 source별 adapter 여부를 결정한다.,manual browser review,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,검증 실패 시 beta 활성화를 보류하고 수동 확인,false
ou_2292_univ_001,동덕여자대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2355_univ_001,루터대학교,hard_non_success,unknown_requires_manual_browser_review,P2,L,사람이 공식 페이지에서 목록과 상세 클릭 동작을 확인한 뒤 source별 adapter 여부를 결정한다.,manual browser review,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,검증 실패 시 beta 활성화를 보류하고 수동 확인,false
ou_2579_univ_001,서울장신대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2700_univ_001,세한대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2791_univ_001,아신대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2981_univ_001,을지대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_3003_univ_001,인제대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_3187_univ_001,창신대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_3198_univ_001,청주교육대학교,hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_3342_univ_001,한국전통문화대학교,hard_non_success,temporary_dns_or_tls_failure,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_3436_univ_001,한밭대학교(산업대),hard_non_success,confirmed_login_required,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,beta 제외 후 다음 운영 주기 재확인,false
ou_2285_univ_001,동국대학교(WISE),partial_degraded,recoverable_config_error,P0,S,공지 표를 가리키는 list_item_selector와 장학/봉사 상세 링크 범위로 source config를 고정한다.,crawler source config: list_item_selector and link scope,높음,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,수정 후 source 단위 회귀 검증; 실패하면 beta 활성화를 보류,false
ou_3518_univ_001,협성대학교,partial_degraded,recoverable_shared_adapter_gap,P1,M,공개 jf_view onclick payload에서 게시글 식별자를 추출해 상세 URL을 만드는 공용 adapter를 보완한다.,shared crawler adapter: jf_view event URL builder,중간,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,수정 후 source 단위 회귀 검증; 실패하면 beta 활성화를 보류,false
